featureID	Name	kingdom	phylum	class	order	family	genus	species	superkingdom	taxonomy	superphylum	subclass	suborder	subphylum
OTU_16	cu927348.1 towards definition core microorganisms involved digestion mesophilic anaerobic digester which treats municipal wastewater sludge clone  	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Rhodocyclus	rhodocyclus tenuis	bacteria	Root;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__rhodocyclales;f__rhodocyclaceae;g__rhodocyclus;s__rhodocyclus tenuis;				
OTU_17	cloacibacterium normanense 	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium	cloacibacterium normanense	bacteria	Root;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__cloacibacterium;s__cloacibacterium normanense;	bacteroidetes/chlorobi group			
OTU_18	ay267192.1 pseudomonas veronii str. 16_6a  	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	pseudomonas veronii	bacteria	Root;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas veronii;				
OTU_19	fj154804.1 streptococcus salivarius str. k12  	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	streptococcus salivarius	bacteria	Root;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus salivarius;				
OTU_20	propionicimonas paludicola 	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Propionicimonas	propionicimonas paludicola	bacteria	Root;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__nocardioidaceae;g__propionicimonas;s__propionicimonas paludicola;		  actinobacteridae	__propionibacterineae	
OTU_21	uncultured stenotrophomonas sp. 	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	stenotrophomonas spp.	bacteria	Root;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__xanthomonadaceae;g__stenotrophomonas;s__stenotrophomonas spp.;				
OTU_22	uncultured ruminococcus sp. 	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	ruminococcus spp.	bacteria	Root;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__ruminococcaceae;g__ruminococcus;s__ruminococcus spp.;				
OTU_23	ab079679.1 rhodopseudomonas sp. hmd89  	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia	afipia sp.	bacteria	Root;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__afipia;s__afipia sp.;				
OTU_24	ab079679.1 rhodopseudomonas sp. hmd89  	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia	afipia sp.	bacteria	Root;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__afipia;s__afipia sp.;				
OTU_25	azospirillum amazonense 	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Nitrospirillum	azospirillum amazonense	bacteria	Root;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__rhodospirillaceae;g__nitrospirillum;s__azospirillum amazonense;				
OTU_26	fj596644.1 acinetobacter junii str. p1  	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	acinetobacter junii	bacteria	Root;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__moraxellaceae;g__acinetobacter;s__acinetobacter junii;				
OTU_27	uncultured ancalomicrobium sp. 	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Ancalomicrobium	ancalomicrobium spp.	bacteria	Root;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__ancalomicrobium;s__ancalomicrobium spp.;				
OTU_28	uncultured rhodopseudomonas sp. 	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	rhodopseudomonas spp.	bacteria	Root;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__rhodopseudomonas;s__rhodopseudomonas spp.;				
OTU_29	dechloromonas agitata 	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas	dechloromonas agitata	bacteria	Root;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__rhodocyclales;f__rhodocyclaceae;g__dechloromonas;s__dechloromonas agitata;				
OTU_30	uncultured bacteroides sp. 	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	bacteroides spp.	bacteria	Root;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__bacteroidaceae;g__bacteroides;s__bacteroides spp.;	bacteroidetes/chlorobi group			
OTU_31	zoogloea sp. enrichment culture clone m_1 	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Zoogloea	zoogloea sp.	bacteria	Root;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__rhodocyclales;f__rhodocyclaceae;g__zoogloea;s__zoogloea sp.;				
OTU_32	gq046324.1 topographical and temporal human skin microbiome skin volar forearm clone nbw996b10c1  	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium	propionibacterium acnes	bacteria	Root;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__propionibacteriaceae;g__propionibacterium;s__propionibacterium acnes;		  actinobacteridae	__propionibacterineae	
OTU_33	uncultured acidovorax sp. 	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	acidovorax spp.	bacteria	Root;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__comamonadaceae;g__acidovorax;s__acidovorax spp.;				
