featureID	sC0C	s1C3A	s1C3B	s1C5A	s1C5B	s1C7A	s1C7B	s1C10A	s1C10B	s1C20A	s1C20B	s2C3A	s2C3B	s2C5A	s2C5B	s2C10A	s2C10B	s1M3A	s1M3B	s1M3C	s1M5C	s1M5A	s1M5B	s1M7A	s1M7B	s1M7C	s1M10A	s1M10B	s1M10C	s2M3A	s2M3B	s2M3C	s2M5A	s2M5B	s2M7A	s2M7B	s2M10B	s2M10A	s2M10C	s3M3A	s3M3B	s3M3C	s3M5A	s3M5B	s3M5C	s3M7A	s3M7B	s3M7C	s3M10A	s3M10B	s3M10C	s1G3A	s1G3B	s1G3C	s1G5A	s1G5B	s1G5C	s1G7A	s1G7B	s1G7C	s1G10A	s1G10B	s1G10C	s2G3A	s2G3B	s2G3C	s2G5A	s2G5B	s2G5C	s2G7A	s2G7B	s2G7C	s2G10A	s2G10B	s2G10C	s3G3A	s3G3B	s3G3C	s3G5A	s3G5B	s3G5C	s3G7A	s3G7B	s3G7C	s3G10A	s3G10B
OTU_29	2	2	3	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	2	1	2	1	0	0	1	0	21	9	0	0	1	0	3	0	0	3	1	10	7	9	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	9	6
OTU_30	76	32	29	6	26	58	28	48	105	54	160	15	27	41	108	79	142	49	39	34	1	0	4	2	0	2	30	10	7	1	7	22	32	29	61	59	224	114	23	1	3	0	29	108	10	58	53	78	114	76	55	22	13	11	1	1	0	0	0	0	0	4	1	2	1	0	0	5	1	5	11	18	31	22	62	1	0	2	19	88	167	27	109	95	40	63
OTU_32	1	3	1	1	1	0	1	1	0	2	0	6	13	1	1	3	1	4	4	2	2	4	0	1	0	1	1	0	2	16	42	4	7	6	1	1	0	15	0	0	4	0	1	2	2	0	1	3	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	5	0	7	1	2	1	2	0	2	0	1	1	0	0	4	0	3	2	2	0	1	0	2
OTU_33	2	1	3	5	2	1	1	0	0	0	0	1	9	0	0	0	0	0	7	3	0	3	0	0	0	1	0	0	0	8	10	3	3	3	2	0	0	29	10	0	0	0	1	3	0	0	1	4	9	6	10	5	4	0	1	2	1	0	0	0	0	0	1	3	0	6	0	0	0	2	2	1	0	0	0	0	2	1	1	1	0	1	1	0	7	4
OTU_34	27	8	15	1	13	7	2	0	0	12	33	4	3	0	1	33	13	3	4	3	0	1	1	1	0	1	30	19	12	19	24	13	21	19	12	7	7	106	29	5	1	4	18	8	7	14	15	12	32	17	48	6	5	5	1	5	2	6	1	5	10	5	16	10	8	27	6	4	11	11	8	14	15	13	11	0	0	2	9	2	11	15	12	5	85	26
OTU_35	11	2	2	2	1	2	1	17	13	1	3	4	0	2	6	2	1	1	1	0	0	2	0	1	0	0	3	3	3	0	0	1	1	1	3	5	6	26	4	0	1	0	2	4	1	4	7	6	14	4	6	3	1	2	1	0	1	2	1	0	0	4	7	0	0	1	1	1	0	5	7	3	11	9	6	0	0	0	8	7	16	17	12	29	14	11
OTU_36	11	6	5	2	32	3	1	12	10	3	4	18	16	0	17	14	1	4	4	5	3	8	6	2	3	13	12	102	76	8	11	0	1	3	1	0	4	9	2	1	0	0	30	13	6	13	46	44	37	14	24	1	4	11	3	4	4	0	7	2	2	4	17	5	10	4	1	2	1	4	4	13	33	22	21	4	4	1	5	0	18	16	5	6	16	28
OTU_37	1	0	0	0	1	1	0	2	3	7	6	4	1	2	21	29	19	0	0	0	0	0	0	0	0	1	2	9	3	0	0	0	0	1	7	4	5	13	2	0	0	0	35	24	27	18	75	51	46	32	32	0	0	1	1	0	0	1	1	1	0	1	3	0	0	0	1	0	0	14	12	28	78	65	44	3	2	1	11	5	40	63	22	12	59	29
OTU_39	3	2	1	1	0	1	0	3	2	2	6	1	4	1	9	6	6	0	0	0	3	1	2	0	0	0	2	3	6	1	7	1	5	6	6	7	2	27	23	2	0	3	6	12	3	10	11	11	29	8	16	16	2	5	8	6	9	7	11	13	5	9	35	3	4	5	1	3	9	10	13	9	22	11	8	5	3	2	11	17	23	32	28	30	57	9
OTU_40	2	5	8	9	7	15	13	5	7	3	3	26	8	9	30	11	6	0	1	0	0	1	1	0	0	1	2	0	1	3	3	8	11	9	16	5	4	4	0	7	4	2	9	30	14	28	8	42	4	1	4	2	1	2	0	2	0	1	2	0	0	2	1	9	3	10	10	17	25	17	23	11	2	4	4	3	7	8	3	9	25	16	13	15	1	2
