featureID	kingdom	phylum	class	order	family	genus	species
OTU_24	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	afipia	afipia sp.
OTU_25	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	rhodospirillaceae	nitrospirillum	azospirillum amazonense
OTU_26	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	moraxellaceae	acinetobacter	acinetobacter junii
OTU_27	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	hyphomicrobiaceae	ancalomicrobium	ancalomicrobium spp.
OTU_28	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodopseudomonas	rhodopseudomonas spp.
OTU_29	bacteria	proteobacteria	betaproteobacteria	rhodocyclales	rhodocyclaceae	dechloromonas	dechloromonas agitata
OTU_30	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_32	bacteria	actinobacteria	actinobacteria	actinomycetales	propionibacteriaceae	propionibacterium	propionibacterium acnes
OTU_33	bacteria	proteobacteria	betaproteobacteria	burkholderiales	comamonadaceae	acidovorax	acidovorax spp.
OTU_34	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	hyphomicrobiaceae	rhodoplanes	rhodoplanes elegans
OTU_35	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	acetobacter	acetobacter spp.
OTU_36	bacteria	bacteroidetes	cytophagia	cytophagales	cytophagaceae	pontibacter	pontibacter salisaro
OTU_37	bacteria	bacteroidetes	bacteroidia	bacteroidales	porphyromonadaceae	barnesiella	barnesiella viscericola
OTU_39	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	methylocystaceae	pleomorphomonas	pleomorphomonas sp.
OTU_40	bacteria	verrucomicrobia	opitutae	opitutales	opitutaceae	opitutus	opitutus sp.
OTU_41	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	methylocystaceae	pleomorphomonas	pleomorphomonas oryzae
OTU_42	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	hyphomicrobiaceae	ancalomicrobium	ancalomicrobium spp.
OTU_43	bacteria	proteobacteria	deltaproteobacteria	desulfovibrionales	desulfovibrionaceae	desulfovibrio	desulfovibrio mexicanus
OTU_44	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodopseudomonas	rhodopseudomonas spp.
OTU_45	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_46	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	acetobacter	acetobacter spp.
OTU_47	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_48	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_49	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_50	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	rhizobiaceae	rhizobium	rhizobium straminoryzae
OTU_51	bacteria	bacteroidetes	cytophagia	cytophagales	cytophagaceae	pontibacter	pontibacter spp.
OTU_52	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	rhodospirillaceae	magnetospirillum	magnetospirillum sp.
OTU_53	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	bradyrhizobium	bradyrhizobium yuanmingense
OTU_54	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	rhodospirillaceae	phaeospirillum	phaeospirillum sp.
OTU_56	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_57	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	afipia	afipia sp.
OTU_58	bacteria	verrucomicrobia	opitutae	opitutales	opitutaceae	opitutus	opitutus spp.
OTU_59	bacteria	bacteroidetes	cytophagia	cytophagales	cytophagaceae	pontibacter	pontibacter sp.
OTU_60	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	methylocystaceae	pleomorphomonas	pleomorphomonas sp.
OTU_61	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	methylocystaceae	pleomorphomonas	pleomorphomonas oryzae
OTU_62	bacteria	bacteroidetes	cytophagia	cytophagales	cytophagaceae	pontibacter	pontibacter sp.
OTU_63	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	afipia	afipia sp.
OTU_64	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	beijerinckiaceae	methylocella	methylocella palustris
OTU_65	bacteria	fibrobacteres	fibrobacteria	fibrobacterales	fibrobacteraceae	fibrobacter	fibrobacter spp.
OTU_67	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	rhodospirillaceae	magnetospirillum	magnetospirillum sp.
OTU_68	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides fragilis
OTU_69	bacteria	verrucomicrobia	opitutae	opitutales	opitutaceae	opitutus	opitutus spp.
OTU_70	bacteria	proteobacteria	gammaproteobacteria	enterobacteriales	enterobacteriaceae	enterobacter	enterobacter spp.
OTU_71	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodoblastus	rhodoblastus acidophilus
OTU_72	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	rhodospirillaceae	phaeospirillum	phaeospirillum sp.
OTU_73	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	rhodospirillaceae	magnetospirillum	magnetospirillum sp.
OTU_74	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_75	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	methylocystaceae	pleomorphomonas	pleomorphomonas oryzae
OTU_76	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	acetobacter	acetobacter spp.
OTU_77	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodopseudomonas	rhodopseudomonas pangongensis
OTU_78	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	rhodospirillaceae	rhodovibrio	rhodovibrio sodomensis
OTU_79	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_80	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_81	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	rhizobiaceae	rhizobium	rhizobium petrolearium
OTU_82	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_83	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_84	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	methylocystaceae	pleomorphomonas	pleomorphomonas oryzae
OTU_85	bacteria	bacteroidetes	bacteroidetes	bacteroidetes order ii. incertae sedis	rhodothermaceae	rhodothermus	rhodothermus spp.
OTU_87	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodopseudomonas	rhodopseudomonas palustris
OTU_88	bacteria	bacteroidetes	bacteroidia	bacteroidales	porphyromonadaceae	barnesiella	barnesiella viscericola
OTU_89	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodoblastus	rhodoblastus acidophilus
OTU_90	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	acetobacter	acetobacter spp.
