	Olin1	Olin2	Olin3	Olin4	Olin5	Olin6	Olin7	Olin8	Olin9	Olin10	Olin11	Olin12	Olin13	Olin14	Olin15	Olin16	Olin17	Olin18	Olin19	Olin20	Olin21	Olin22	Olin23	Olin24	Olin25	Olin26	Olin27	Olin28	Olin29	Olin30	Olin31	Olin32	Olin33	Olin34	Olin35	Olin36	Olin37	Olin38	Olin39	Olin40	Olin41	Olin42	Olin43	Olin44	Olin45	Olin46	Olin47	Olin48	Olin49	Olin50	Olin51	Olin52	Olin53	Olin54	Olin55	Olin56	Olin57	Olin58	Olin59	Olin60	Olin61	Olin62	Olin63	Olin64	Olin65	Olin66	Olin67	Olin68	Olin69	Olin70	Olin71	Olin72	Olin73	Olin74	Olin75	Olin76	Olin77	Olin78	Olin79	Olin80	Olin81	Olin82	Olin83	Olin84	Olin85	Olin86	Olin87	Olin88	
rubrivivax gelatinosus	0	0	0.0008504847763225038271814900	0	0	0	0	0.0008279036651295255284095100	0	0	0.0011955144298591684001625900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010719837058476711153990500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atopostipes sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008938627384378854783059500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010719837058476711153990500	0	0	0	0	0	0	0	0	0	0	0	0.0009834679045249358287192300	0	0	0	0	0	0.800	0	0	0	0	0	0	0	0.0015045512675844429398931800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
methylobacillus sp.	0.0011346101479531632930924900	0	0	0	0	0	0	0	0	0	0	0.0008081461128171973492807500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009366365381913548447524900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
caulobacter spp.	0.017019152219297449396387400	0.020815697811576303409611300	0.013607756421160061234903900	0.0085554583824480018251644500	0.0148817576708696358028031800	0.0157132334888288730665357200	0.0138493924733168371680762300	0.011590651311813357397733200	0.0192851632810491128824890700	0.0265582358005018590765060400	0.2056284819357769648279654700	0.1099078713431388395021819900	0.0233563003620226556113511600	0.0169827943065182087397705200	0.017758659813139435077299500	0.019868865487780647725014900	0.0203493301678819738850262800	0.1823479986413286375744140700	0.2319356080746594305201591500	0.0207619640818021384823004300	0.0190282025144410465511382900	0.0117029457986424582873574700	0.0225028128516064508063507900	0.0139337219293560298181649300	0.0177145504592156542119750400	0.0961247251227894605164399600	0.0490631588718125522124832600	0.0254336436237855435169642400	0.0229389365509015002064504300	0.0185268507000502871661858500	0.0226675129204823646749478600	0.0125245271990982340416649300	0.0207366288621971255842146400	0.2289264982421715313547543100	0.1725218297079335628199181300	0.0192957067052580800771828300	0.0137579240350932893079764200	0.072885700480718046990803300	0.0093663653819135484475249400	0.0154603313664356206034682700	0.0292023724410162425609473700	0.0707430377060390973188388700	0.1754483294267763276514888800	0.3058312473824156772603753700	0.2085406136824929358857006400	0.2189381499726327312534209100	0.0225532114833435136024056800	0.0255701655176483315466999700	0.2260231654192377779341951900	0.3518234585478041835505421100	0.231707154208790181492808400	0.0507751971916063346435668700	0.2004411382372921157023407200	0.0105263157894736842105263200	0.0326350786301425744997654400	0.022870308410344155789152700	0.035813600741552203589786800	0.0345003061902174381797638500	0.0452116251840344999478327400	0.1783366058400734962981643900	0.0319100753489521142998311900	0.0451365380275332881967953100	0.0772126242640671749831097400	0.1036007916163051707420738800	0.070455612963832785345232500	0.0542826484882913589597929700	0.0973340580717743872378616800	0.0434890656063618290258449300	0.0302366014060019653790913900	0.0701747990448936441682007900	0.0569078351742155772265190500	0.0646793974140800140661990500	0.2098239303540941731503564400	0.2226205074992925195736251300	0.0349958230791808719604434300	0.030687816254995294534840900	0.0692027968375627558381699100	0.1618675136274947283688129400	0.0270227666809286824149345800	0.1601247160052206699859815300	0.0494318588330178800236752600	0.0088440788891836915185283500	0.0202967677397374468115952500	0.0084944175749499625714725600	0.0051896444352184098929450500	0	0.003582217870490883255519600	0.0047984261162338752889052400	
neisseria perflava	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008137822156034602019807500	0	0	0.0008189404548395286178741900	0	0	0.0010069783600350428469292200	0	0	0.000973984864275209163249600	0.0007959565407728738010904600	0	0	0	0	0	0.0073451835628146743412705800	0	0	0	0	0.0008470484596423761403389900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006279553146998059618077600	0	0	0	0.0006819514723332287674409100	0	0	0	0	0	0	0	0	0	0	0	0	
parabacteroides distasonis	0.0011346101479531632930924900	0	0	0	0	0	0	0	0	0	0	0.0008081461128171973492807500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013869433156266903371659200	0	0	0	0	0	0	0	0.0006677439602558794855700500	0	0	0	0	0	0.0028089098620825257717479800	0.0017250153095108719089881900	0.0023185448812325384588632200	0.0009006899284852196782735600	0.0010293572693210359451558400	0.0015045512675844429398931800	0	0	0	0	0	0	0	0.0018227220531141206277454800	0.0012933598903230813006027100	0	0.0006516271129009135812122900	0	0.0016933462780248809013117800	0	0.0006528565739392712814921700	0	0	0.00181273263402136607531300	0.0013008383903425757900967200	0.0009826754321315212798364800	0.0007248845621334802432712600	0.0026545054921718633035851800	0.0007413777764597728418492900	0	0.000597036311748480542586600	0	
pleomorphomonas sp.	0.0056730507397658164654624700	0.0055508527497536809092296800	0.0008504847763225038271814900	0.0351724400167306741701205400	0.0108230964879051896747659500	0.0157132334888288730665357200	0.0009232928315544558112050800	0.0024837109953885765852285400	0	0.0036632049380002564243456600	0.0023910288597183368003251800	0.001616292225634394698561500	0.0339728005265784081619653300	0.0201670682389903728784774900	0.0207184364486626742568494200	0.0017277274337200563239143400	0.0033915550279803289808377100	0.0035754509537515419132238100	0.0045837076694596725399240900	0.0192789666473877000192789700	0.0271831464492014950730547100	0.0434680843949577022101849100	0	0	0.0013626577276319734009211600	0.0105342164518125436182400	0.0066301566042989935422274700	0.0228902792614069891652678200	0.0344084048263522503096756400	0.0635206309716009845697800600	0.0030223350560643152899930500	0.0031311317997745585104162300	0.0071780638369143896253050700	0.0057231624560542882838688600	0.0073240399404311418178267100	0.0064319022350860266923942800	0.0084664147908266395741393400	0.0106462259129138720323645300	0.0056198192291481290685149600	0.0128836094720296838362235600	0.0120837403204205141631506300	0.0070743037706039097318838900	0.0249649796812804260689865600	0.0204536821497793924282416700	0.0135312611931388546185378300	0.0242395808898271952459144600	0.0178546257576469482685711600	0.0206528259950236524031038200	0.0375401797236104267849182300	0.0390154419012156390318694600	0.0293807342512586973650823300	0.0218858608584510063118822700	0.0251599755109571693350218500	0	0.0132580006934954208905297100	0.0169409691928475228067797800	0.0280890986208252577174798500	0.022425199023641334816846500	0.0231854488123253845886321700	0.0144110388557635148523769200	0.0102935726932103594515584500	0.0105318588730911005792522400	0.0275759372371668482082534800	0.0119539374941890581625469900	0.0085400742986463982236645500	0.0075743230448778640409013400	0.00379223602877043067160500	0.0093190854870775347912524900	0.032126388993877088215284600	0.0346317190091682919271640300	0.0271605576967847073126568200	0.0144429722380955371215784300	0.0436590165643612099412232300	0.0150929157626638996321101800	0.0333024768011559910591316500	0.0279600103656623794650772700	0.0339485418448421066375927900	0.0306235836592557594211267700	0.0165139129716786392535711300	0.0229612800309373036206313100	0.0286184445875366673821277800	0.0108094297534467340782013100	0.0173972294912035258385102200	0.0376939779888404589109094900	0.0148275555291954568369858500	0.0028777806555584333362111100	0.0310458882109209882145032100	0.0255916059532473348741612800	
citrobacter sp.	0	0.0027754263748768404546148400	0.0017009695526450076543629900	0.0019012129738773337389254300	0.0013528870609881487093457400	0.0009820770930518045666584800	0	0	0	0	0.0035865432895775052004877700	0.0024244383384515920478422500	0	0	0	0	0.0016957775139901644904188600	0	0	0	0	0	0	0	0	0.0013167770564765679522800	0	0	0	0	0	0.0010437105999248528368054100	0.0007975626485460432917005600	0.0016351892731583680811053900	0.0048826932936207612118844800	0.0010719837058476711153990500	0	0	0.0018732730763827096895049900	0	0	0.0023581012568679699106279600	0.0013869433156266903371659200	0	0	0	0.0037588685805572522670676100	0.0029504037135748074861576900	0	0.0006844814368634322637170100	0	0.0026263033030141207574258700	0.0033546634014609559113362500	0	0.0020396924143839109062353400	0.0008470484596423761403389900	0	0.000862507654755435954494100	0	0	0	0	0	0	0.0042700371493231991118322700	0.0012623871741463106734835600	0.0050563147050272408954733300	0.003106361829025844930417500	0	0.0018227220531141206277454800	0.0019400398354846219509040600	0.0018838659440994178854232700	0.0019548813387027407436368600	0.0037732289406659749080275400	0.0005644487593416269671039300	0	0	0.0008749595331215931263179100	0.0030025296312142980461038400	0.0030212210567022767921883300	0	0	0	0.0005309010984343726607170400	0	0	0.000597036311748480542586600	0	
streptococcus sanguinis	0	0	0	0	0.0013528870609881487093457400	0	0	0.0016558073302590510568190300	0	0.0009158012345000641060864200	0.0011955144298591684001625900	0	0	0	0	0	0	0.0008938627384378854783059500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032551288624138408079229800	0.0010719837058476711153990500	0.0021166036977066598935348300	0.0008189404548395286178741900	0.0037465461527654193790099800	0.0017178145962706245114964700	0.0040279134401401713877168800	0	0	0	0	0	0	0.0059008074271496149723153800	0.000782087077575217224685800	0.0006844814368634322637170100	0	0.0008754344343380402524752900	0.0008386658503652389778340600	0.0631578947368421052631578900	0	0	0	0	0	0	0	0	0	0	0.0010675092873307997779580700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003582217870490883255519600	0	
tumebacillus sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008938627384378854783059500	0.0018334830677838690159696400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000973984864275209163249600	0	0.0007819219641879740401907900	0	0	0	0.0006844814368634322637170100	0.0006677439602558794855700500	0	0.0033546634014609559113362500	0	0	0	0	0	0	0	0	0	0	0	0.0021350185746615995559161400	0	0	0.0010354539430086149768058300	0	0	0	0	0.0006516271129009135812122900	0	0.0005644487593416269671039300	0	0	0	0	0.0006042442113404553584376700	0	0	0	0	0	0	0	0	
