,opitutus spp.,paludibacter propionicigenes,magnetospirillum sp.,rhodopseudomonas palustris,acetobacter spp.,bacteroides spp.,pleomorphomonas oryzae,afipia sp.,rhodoblastus acidophilus,spirochaeta spp.,citrobacter werkmanii,pontibacter spp.,pontibacter sp.,ruminococcus spp.,eubacterium sp.,desulfovibrio mexicanus,ancalomicrobium spp.,rhodocyclus tenuis,escherichia spp.,rhodoplanes elegans,propionicimonas paludicola,rhodopseudomonas spp.,pleomorphomonas spp.,caulobacter spp.,opitutus terrae,barnesiella viscericola,pontibacter salisaro,phaeospirillum sp.,rhodopseudomonas pangongensis,enterobacter spp.,prolixibacter spp.,cloacibacterium normanense,rhodopseudomonas rhenobacensis,clostridium sp.,pleomorphomonas sp.,citrobacter spp.,bradyrhizobium sp.,acidovorax caeni,fibrobacter spp.,chlorobium spp.,bradyrhizobium yuanmingense,bradyrhizobium spp.,rhodopseudomonas sp.,inquilinus spp.,dechloromonas agitata,acidovorax spp.,opitutus sp.,methylocella palustris,beijerinckia spp.,rhodocyclus spp.,ochrobactrum anthropi,nitrospirillum azospirillum amazonense,acinetobacter junii,propionibacterium acnes,brevundimonas sp.,rhizobium petrolearium,escherichia vulneris,brevundimonas spp.,parabacteroides distasonis,nitrobacter hamburgensis
3M3A,-0.7591067873499445,-3.386182578452631,-1.4689156290615832,-1.67340333306384,-3.1165546718625423,-1.8550192900408784,-1.2143282845339822,-2.2831280112119727,-0.20707410406495225,-3.7071562997384975,-1.4112374514417174,-2.3833298652501393,-2.6957253095184948,-4.711211676508372,-1.701715905791432,-5.166595866060186,-3.06903566619802,-3.6545761565143646,-3.6076799386241745,-4.155122382611525,-3.9671607200249905,-3.7669906819364707,-4.349650689136944,-3.259710042537411,-5.166595866060186,-4.711211676508372,-4.711211676508372,-4.711211676508372,-4.49384401397538,-4.711211676508372,-5.166595866060186,-5.166595866060186,-4.711211676508372,-5.166595866060186,-4.083048498169299,-4.083048498169299,-3.875773229544938,-5.166595866060186,-5.166595866060186,-5.166595866060186,-4.49384401397538,-5.166595866060186,-4.49384401397538,-5.166595866060186,-5.166595866060186,-5.166595866060186,-3.9671607200249905,-3.9671607200249905,-3.3997386463626724,-5.166595866060186,-3.5653577831791354,-4.49384401397538,-5.166595866060186,-5.166595866060186,-4.349650689136944,-4.49384401397538,-4.711211676508372,-5.166595866060186,-5.166595866060186,-5.166595866060186
3M3B,-0.8690604465159166,-3.049551056336337,-0.38976511925377255,-1.6668817784433552,-2.922368951518825,-2.258951987398743,-1.0038544972295727,-2.128942271406754,-0.7908183948489154,-3.73545187544058,-1.1416060120994833,-2.9760908379400774,-3.290108487165752,-4.710812245349841,-1.0938026209938991,-5.166595866060186,-3.0949401526987312,-3.706562854299117,-2.9919739267029266,-4.710812245349841,-3.918487562434755,-3.766400387285474,-4.082484409121247,-3.008460017219796,-4.710812245349841,-5.166595866060186,-5.166595866060186,-4.154567444077588,-3.83582022227214,-4.24104303878169,-4.710812245349841,-5.166595866060186,-4.349129564806677,-5.166595866060186,-4.349129564806677,-3.73545187544058,-4.082484409121247,-4.710812245349841,-5.166595866060186,-5.166595866060186,-4.493359772637457,-4.710812245349841,-4.493359772637457,-5.166595866060186,-5.166595866060186,-5.166595866060186,-3.9665847595392476,-4.493359772637457,-4.082484409121247,-5.166595866060186,-3.3009559066912546,-3.6539802788602302,-5.166595866060186,-4.24104303878169,-3.9665847595392476,-4.154567444077588,-4.24104303878169,-4.349129564806677,-5.166595866060186,-5.166595866060186
3M3C,-1.0726457436056656,-3.032154810823609,-0.29331115324114576,-1.8313376451277874,-2.9031875874250535,-2.4288537004153516,-1.3545536850443092,-2.374447438955429,-0.8894812251166964,-4.04733166403541,-0.7570967163486179,-3.041952313206462,-3.444941274188507,-5.166595866060186,-1.5741924665520721,-5.166595866060186,-3.1355826721069144,-3.542924376343105,-2.5944125801861433,-4.316554882676749,-4.161407246162067,-4.04733166403541,-4.421513696159821,-3.3547440022754595,-5.166595866060186,-5.166595866060186,-5.166595866060186,-4.421513696159821,-4.1006346622678205,-4.232089464540888,-5.166595866060186,-4.7651898988842,-5.166595866060186,-5.166595866060186,-3.999861426951052,-3.288755097400843,-4.560207731398667,-4.421513696159821,-5.166595866060186,-5.166595866060186,-4.7651898988842,-5.166595866060186,-5.166595866060186,-5.166595866060186,-4.7651898988842,-5.166595866060186,-4.316554882676749,-4.560207731398667,-4.232089464540888,-5.166595866060186,-3.669657508138373,-4.04733166403541,-5.166595866060186,-5.166595866060186,-4.7651898988842,-4.7651898988842,-4.421513696159821,-4.421513696159821,-5.166595866060186,-5.166595866060186
3M5B,-0.7652293871141239,-2.503215455078604,-1.6073295220604178,-1.6133373452448578,-1.9175146928837232,-1.0435732023253712,-0.6985161912428071,-2.129241334227808,-0.8579793367371421,-4.037901921601172,-1.1672392665854652,-1.2034893095940742,-1.5036127180581018,-4.874866408728196,-0.810083634051344,-5.166595866060186,-3.0209160194730593,-2.7839236885087866,-3.1984306737922465,-4.229027909260281,-3.4774536534142264,-3.3721915706794134,-3.561693870093766,-2.6761384675044235,-5.166595866060186,-3.392698941834064,-4.037901921601172,-3.9538225793524213,-3.6934193065493,-3.9056366019237427,-4.069981358828973,-4.578562454633773,-4.104620710147665,-5.166595866060186,-3.352609049605258,-3.653356708058651,-3.9800810540232434,-4.874866408728196,-4.104620710147665,-4.701920122793066,-5.166595866060186,-4.482603852948027,-5.166595866060186,-4.874866408728196,-4.578562454633773,-4.578562454633773,-3.5828603156651497,-4.142264241735777,-4.037901921601172,-4.874866408728196,-3.091823844465777,-3.6051114526453887,-5.166595866060186,-4.701920122793066,-3.7533255360992657,-3.9290616399391682,-3.666304579774675,-4.142264241735777,-4.874866408728196,-4.874866408728196
3M5C,-0.8240243691980654,-2.6991021705918925,-1.2399133829026592,-1.5549390225655355,-2.8703776735711632,-1.0589734170756793,-1.136310285212454,-2.1849359411167333,-0.3958990884167942,-3.9203269420075215,-1.4355073565432048,-1.5868439053231005,-1.885705798063951,-4.788945534698737,-0.961056635965385,-5.166595866060186,-3.1941403098432337,-3.3111956517116043,-3.346152636180765,-4.137162301193768,-3.614569977293784,-3.425840975203623,-3.955881902781501,-2.65062944132305,-5.166595866060186,-3.4842680450600776,-4.19739728672529,-3.8283716635814273,-3.80159050664126,-4.35078190188376,-5.166595866060186,-5.166595866060186,-4.137162301193768,-5.166595866060186,-3.80159050664126,-3.9203269420075215,-4.037131370285979,-5.166595866060186,-4.788945534698737,-5.166595866060186,-4.788945534698737,-5.166595866060186,-4.454142433291588,-5.166595866060186,-5.166595866060186,-5.166595866060186,-3.8283716635814273,-4.59004962097567,-3.631791410813768,-5.166595866060186,-3.14564770975905,-3.5666592542339988,-5.166595866060186,-4.59004962097567,-3.856913471051722,-4.454142433291588,-3.80159050664126,-4.137162301193768,-5.166595866060186,-5.166595866060186
3M5A,-0.8028306736791045,-2.9814153042169513,-1.2087009232738926,-1.6791582520780892,-2.9560232488816753,-1.4605856321747854,-0.8856039509641451,-2.269227344534553,-0.4441270781979145,-3.898887253544886,-1.1501251014606857,-1.0726638312473313,-1.395897601683225,-4.882784400264549,-1.604258835904819,-5.166595866060186,-2.9560232488816753,-2.718749882408801,-3.2101443941823087,-3.9210677225364328,-3.6209979388552846,-3.5381909141088306,-3.769026317529379,-3.184358664463985,-5.166595866060186,-3.2718944634123153,-3.7092028339330154,-4.417533513563343,-4.11952250678995,-4.882784400264549,-4.294101648100955,-4.417533513563343,-4.157035745289824,-5.166595866060186,-3.8200099121321403,-3.877784762672571,-4.084993502035463,-4.495513015850918,-4.495513015850918,-5.166595866060186,-4.417533513563343,-4.71258777057807,-4.590626625368877,-5.166595866060186,-5.166595866060186,-4.882784400264549,-4.053008719582724,-4.243452580143751,-3.695451355618047,-5.166595866060186,-3.485037073591242,-4.084993502035463,-4.882784400264549,-4.882784400264549,-4.882784400264549,-4.198098273810018,-4.11952250678995,-4.882784400264549,-5.166595866060186,-4.882784400264549
3M7A,-0.6909505876229987,-2.815088061498668,-1.4569527710945958,-1.3079329508144455,-2.009997030374956,-1.1028125340412793,-0.9079007721914503,-2.0516319621508563,-0.5818051971074063,-4.1667069491315285,-1.3151813911106829,-1.2966415911370965,-1.5393534077419577,-4.8076433470084305,-1.0426857534277971,-5.166595866060186,-3.017059514266743,-2.7077574381920524,-3.3269701864620203,-3.887959195443266,-3.6138738683470017,-3.2015834778317354,-3.7000592572352966,-2.7885805435457294,-5.166595866060186,-3.4919867290775954,-3.918388679691604,-3.9865033162513956,-3.887959195443266,-4.11417930415229,-4.025036690891448,-5.166595866060186,-4.025036690891448,-5.166595866060186,-3.5039587781903485,-4.22647333287197,-3.8076919501252977,-5.166595866060186,-4.22647333287197,-5.166595866060186,-4.8076433470084305,-4.37832878266242,-4.480313002032101,-4.37832878266242,-5.166595866060186,-5.166595866060186,-3.528940907381931,-4.0673248419411125,-3.7613924766056677,-4.8076433470084305,-3.360537390642429,-3.7399711060182037,-5.166595866060186,-5.166595866060186,-4.2957973725597425,-4.22647333287197,-4.025036690891448,-4.613842761586352,-5.166595866060186,-5.166595866060186
3M7B,-1.0231364282326503,-2.1255723293016273,-1.6086303621909026,-1.4170054987027723,-1.526213110445136,-0.7854935382459236,-0.7155985953645689,-1.931685453921521,-1.0062300394294563,-4.0865197005541845,-1.0479905635771811,-0.8382219638519365,-1.0595104899514305,-5.166595866060186,-2.073883188082274,-5.166595866060186,-2.7819878442682775,-2.7839672484583744,-3.2555411299313546,-3.922637355865393,-3.5231773735563494,-3.534198695673093,-3.5571176656916452,-3.5571176656916452,-5.166595866060186,-2.9722230251991806,-3.4529888774964923,-4.532378049977584,-4.284934409398687,-3.7457010103427475,-4.532378049977584,-5.166595866060186,-4.352856364484455,-5.166595866060186,-3.7642578365712454,-3.534198695673093,-4.013400010879547,-4.660774525321854,-3.825220093670007,-4.284934409398687,-4.433406531256371,-4.433406531256371,-4.433406531256371,-4.660774525321854,-4.532378049977584,-4.843864962993111,-4.174493116150587,-4.284934409398687,-4.174493116150587,-4.843864962993111,-3.7457010103427475,-4.532378049977584,-5.166595866060186,-4.843864962993111,-4.843864962993111,-4.284934409398687,-5.166595866060186,-4.660774525321854,-5.166595866060186,-5.166595866060186
3M7C,-0.7071093629849122,-2.618144492644193,-1.1560674817525494,-1.6296551964333839,-1.6320138952962429,-0.9037474523593597,-0.9474600625742577,-2.2805840045763586,-0.9732172525503717,-3.9845071514739767,-1.101320834084611,-1.1302018593368046,-1.3937707138704178,-5.166595866060186,-0.8781947027597786,-5.166595866060186,-3.074756571718552,-2.7631281771215814,-3.131356703031549,-4.100030072832684,-3.484758545168448,-3.526853009126989,-3.7392224950886184,-2.7930776835110933,-5.166595866060186,-3.249093797976614,-3.563737511250743,-3.914405925295535,-3.7250406907934224,-3.784778081844353,-4.257880847808283,-4.723165029210426,-4.13444469050536,-5.166595866060186,-3.6256987816177024,-3.835678356461971,-3.9845071514739767,-4.890585513466952,-4.723165029210426,-5.166595866060186,-5.166595866060186,-5.166595866060186,-4.602627473746114,-4.365314425411684,-4.890585513466952,-4.508379738729856,-3.47680800925762,-4.602627473746114,-4.171822941200082,-4.430982454840036,-3.3143912240193876,-3.636942965374776,-4.890585513466952,-4.602627473746114,-3.8180403818430895,-4.100030072832684,-3.697995073798258,-4.257880847808283,-4.602627473746114,-4.890585513466952
3M10A,-0.91634756182581,-1.7947959877287667,-0.9228550953236836,-1.3036332322394302,-1.0439288658891541,-1.0268763339789746,-0.8939220135502643,-1.9285152689212066,-0.8241689719972797,-5.166595866060186,-1.5791994126869437,-1.0555952479578996,-1.258866879477964,-5.166595866060186,-1.377016755150527,-5.166595866060186,-2.740767942076974,-2.667869453783617,-3.504780784587574,-3.667315985536485,-4.280823631749046,-3.5327813287096728,-3.5232458121536743,-3.2996905268952688,-5.166595866060186,-3.2271804157321022,-3.6061272011989915,-3.754329610940723,-4.280823631749046,-4.105574506081329,-4.280823631749046,-3.6806607421119946,-4.48343187718891,-5.166595866060186,-3.5327813287096728,-4.338455163706195,-4.229951639029297,-3.954802967211266,-3.667315985536485,-4.48343187718891,-4.579336980944786,-4.7026060188116245,-4.579336980944786,-4.229951639029297,-4.143209830298947,-4.184418702792399,-4.338455163706195,-4.338455163706195,-4.038868626227831,-4.404921864776755,-3.930045577858696,-4.105574506081329,-4.070942103865399,-4.7026060188116245,-4.404921864776755,-4.280823631749046,-4.48343187718891,-4.7026060188116245,-4.7026060188116245,-5.166595866060186
3M10B,-0.9012425383137397,-2.152594191294429,-0.5757691480070599,-1.515862185928583,-1.514463802833596,-0.7327545742369527,-0.943211550485249,-2.0140201080453703,-1.1447904813067136,-5.166595866060186,-1.4026961168437935,-1.2029298127156078,-1.3115160411306348,-5.166595866060186,-2.3661513648020014,-5.166595866060186,-2.8529183237643263,-3.040274075551973,-3.196463749113219,-3.7595197945410046,-3.903757117710687,-4.068151922824944,-3.978221914140041,-4.0208633227028265,-5.166595866060186,-3.285568134871125,-3.840210858613827,-4.3358716018521815,-4.778667329934272,-4.068151922824944,-4.439943174204125,-3.840210858613827,-4.251980760915819,-5.166595866060186,-3.9393954861233236,-4.0208633227028265,-5.166595866060186,-4.181700971538361,-4.778667329934272,-4.439943174204125,-4.778667329934272,-4.778667329934272,-5.166595866060186,-4.778667329934272,-4.121225954443405,-4.181700971538361,-4.778667329934272,-4.439943174204125,-4.181700971538361,-4.778667329934272,-5.166595866060186,-4.778667329934272,-4.181700971538361,-4.778667329934272,-5.166595866060186,-4.577086696188135,-4.577086696188135,-5.166595866060186,-4.778667329934272,-5.166595866060186
3M10C,-0.8264740671544322,-2.562094678684974,-0.6956606779725291,-1.4247733258074673,-1.4972563872521434,-0.8396189799256305,-1.0721508005235818,-2.0603576545534468,-0.7133810187327179,-4.544070106000734,-1.4610041479937843,-1.2487641475655122,-1.433231228843285,-5.166595866060186,-1.9139649271391819,-5.166595866060186,-2.9248332775772496,-3.0828425131640596,-3.2260234344569705,-3.4498570275640734,-4.544070106000734,-3.538113826445422,-3.798289253914156,-3.6780252088224334,-5.166595866060186,-3.424018818032932,-3.742628363000728,-4.298185543554705,-4.671235768885146,-4.142150181567918,-5.166595866060186,-3.798289253914156,-3.9952681845055946,-5.166595866060186,-3.742628363000728,-3.910615084445431,-4.544070106000734,-3.8857054125385897,-3.965179428055694,-4.671235768885146,-5.166595866060186,-4.671235768885146,-4.544070106000734,-4.188201233187396,-4.142150181567918,-4.100517457595583,-4.365763281420788,-4.445829397808317,-4.027597758832583,-4.851815433007904,-4.062528965657842,-4.445829397808317,-4.062528965657842,-4.851815433007904,-5.166595866060186,-5.166595866060186,-5.166595866060186,-5.166595866060186,-4.851815433007904,-5.166595866060186
