"","D_start_200A","D_start_200B","D_start_200C","D_011A","D_011B","D_003A","D_003B","D_005A","D_005B","D_007A","D_007B","LF_start_100A","LF_start_100B","LF_start_100C","LF_start_200A","LF_start_200B","LF_start_200B2","LF_start_200C","LF_start_200C2","LF_start_050A","LF_start_050B","LF_start_050B2","LF_000B","LF_011A","LF_011B","LF_003A","LF_003B","LF_005A","LF_005B","LF_007A","LF_007B","FD_004A","FD_010A","FD_015A","FD_004B","FD_010B","FD_015B","FD_004C","FD_010C","FD_015C","LFa_000A","LFa_000B","LFa_011A","LFa_011B","LFa_003A","LFa_003B","LFa_003C","LFa_005A","LFa_005B","LFa_005C","LFa_007A","LFa_007B","LFa_007C","F_000D","F_005D","Fa_005D","Fn_005D","F_007D","Fa_007D","Fn_007D","Fa_000D","F_011D","Fa_011D","Fn_000D","F_014D","F_014E","Fa_014D","Fa_014E","Fn_014D","Fn_014E","F_003D","Fa_003D","Fn_003D"
"OTU_52",-1.43766951066124,-1.27699886895723,-1.0670615869414,0.088495123601362,0.795754122880705,0.388524705387694,0.857714694601833,-1.24645712711705,0.196789419512735,-0.49922013646016,-0.662604368759023,-3.42315390604196,-3.39546750082478,-3.11532545459527,-3.14197574831067,-3.0372341878808,-3.46404069857191,-2.95329610798293,-3.47987018329292,-3.38679395428159,-3.23727531057926,-3.41791375085421,-3.48488268151464,-3.24535348093177,-2.06111106850258,-3.17132090182939,-3.23841142045204,-3.22381018937939,-3.31488044097106,-3.42550166035576,-2.01931684779223,-5.28967296262207,-3.57270976299218,-3.0526333249074,-3.29447652464989,-2.42033664962662,-2.0650990972731,-2.61204955342215,-2.72627055815234,-3.93448300591723,-4.24819942420653,-4.14830317139193,-3.4466173053069,-3.52260055668995,-3.46856142643257,-3.498897725255,-3.56688576716975,-4.25784602226054,-4.0692430862221,-4.00003886772774,-3.8596445666336,-3.91583249092071,-3.50062623458645,-4.17744296438428,-1.31574095906385,-1.11443689766189,-3.54294585103537,-0.140248565962883,-0.744008083993711,-3.80784729101932,0.189556430667789,-4.09245568383838,-0.111130199630701,-0.0512812851142268,-0.215601353753119,-0.654467500049098,-0.757707015064224,-0.407061565040124,-2.77244846196932,-0.392667161395652,-1.98024032571262,-0.840564607669664,-3.60228093690946
"OTU_58",-3.05203035277282,-4.56258521339532,-2.47303753167417,-4.68751709588943,-4.91966641177553,-5.13468222167029,-2.94092894893255,-2.62965822260992,-3.07179182804145,-4.46016361479727,-3.13049709359475,2.97736061345431,3.03693493908773,3.17584767099282,5.14249480150401,5.0727638086182,4.03772139829597,5.43376699336764,4.50365898993145,4.52195366268326,2.36263933276057,4.53760895888495,6.25655451023786,5.9076755243313,5.83698327897553,4.71493148789971,5.12618668698237,6.16428777397853,5.72823046671619,5.93089168780491,6.23144051675823,1.3455776640019,0.972763214261176,0.660898061221941,1.51984714946111,1.30312361123822,0.135683441877995,1.34306687952273,1.61577448269578,1.060885354767,4.55635870532675,4.53703853479113,4.60138269608165,4.1520430903975,3.64266590909013,4.60085659333552,3.76557317613568,5.8846907930317,5.99235565041544,5.78563932951335,5.34079617151104,5.58878042843783,5.31053161318297,4.38302522981847,5.13912506029704,4.59384821339147,5.31433718931256,5.73117566355718,5.58394712837976,5.79296564403296,4.45902694264134,6.03583804877171,6.38582011843621,4.25978157236051,5.36639943664018,5.03119480301714,5.23030927871816,3.88030083501775,4.85481068073219,4.21006660759162,4.114477789946,4.28148643150642,4.68777594779218
"OTU_77",5.54221728853,5.62862746799104,5.5928213391667,4.66607098770752,4.91364355787289,4.71668346819017,4.12562130475293,5.0862984744325,5.25484967005607,5.7230822579497,5.61949390018064,7.46363995533104,7.45432765083066,8.18552951806199,8.42895530428837,8.54315905551351,7.89728396113553,8.60033640618313,7.83262752070505,7.95182373972487,8.54791657354127,7.74614971585221,7.92298103908704,5.27083921015088,4.7106285252852,7.4918089718366,7.22026075512265,6.92589167521728,6.55286274181302,5.2478701365759,5.49689187547948,5.74732613923522,5.40872795156878,6.64383634599334,5.64431019419029,4.72804622213893,6.83228108188636,5.53174226896873,5.10380736813459,6.77084838443802,5.49787571197376,5.78933894369679,5.08241442830899,4.47433654024481,6.55237657283554,6.91404826077269,7.30461232148188,5.826971102927,6.54703378234811,6.76054241864914,5.06827905398439,4.85619191348996,5.08012250870914,7.07450305529535,7.95196081868884,7.67493554454995,8.24656508124448,7.67479772700134,7.56685149148556,7.71810268979057,6.71028940663118,7.12054250076605,6.85187359562932,6.57779395921023,7.51602461045026,7.55412408357451,7.45318166882272,7.02080202104654,6.49032452631941,7.37898218657884,7.96249512232395,7.85729495874562,8.47785928657749
"OTU_94",-1.04522932657503,-1.06136718892353,-1.45790909906448,-4.68751709588943,-3.43828709102386,-2.63580563385944,-2.94092894893255,-4.55116078380791,-3.07179182804145,-4.46016361479727,-4.60564138335549,0.0674919985364308,0.914681192395943,0.101390162781783,-3.14197574831067,-3.0372341878808,1.75712666571452,-2.95329610798293,1.65984177033036,-1.15348159420251,-1.06579600804518,-0.97940887274666,1.78923811005169,3.78550399518435,3.19216699894482,-0.908865329159887,0.948969855636749,3.30775150295184,3.02957204145155,3.16962544733735,3.70824062714999,-2.31099337788632,-3.57270976299218,-3.63163449590823,-2.46921246205488,-2.42033664962662,-4.96462039871915,-5.22563853966183,-4.13995179751554,-5.11249620358556,0.668197824583195,0.760091572639993,-2.16657587317682,-1.53826443035777,-1.0801501709558,-0.697425988785872,-0.871124623129644,-0.947967036874209,-1.86236282454897,-1.65961947631297,-3.8596445666336,-3.91583249092071,-3.50062623458645,-4.17744296438428,-3.92891645389576,-4.11995337119984,-3.54294585103537,-3.77594784632972,-3.93457153813728,-3.80784729101932,-4.54096125294132,-4.09245568383838,-4.00673584666827,-3.97649127912696,-3.8202598852156,-3.9855603046359,-3.9588326277724,-3.03648879345591,0.440010027206402,-4.16417072028359,-1.98024032571262,-3.77877152031492,-3.60228093690946
"OTU_95",-4.68645313992736,-4.56258521339532,-4.59212597680276,-4.68751709588943,-4.91966641177553,-5.13468222167029,-5.24157671410023,-4.55116078380791,-4.63155254932537,-4.46016361479727,-4.60564138335549,1.8820642262822,1.71812145533102,1.67823339194923,-1.65773851352702,-1.80984558360041,2.5545398037025,-2.95329610798293,2.58526619330281,0.887245580779247,0.987378416804555,0.860141954524879,-0.202035943702347,-3.24535348093177,-2.06111106850258,-3.17132090182939,-3.23841142045204,-2.09362275546952,-3.31488044097106,-3.42550166035576,-3.29411583028045,-2.95453173347476,-5.56054991200492,-5.16529435556958,-2.93855573735761,-5.69265532030672,-4.96462039871915,-3.23448564397601,-5.6439732524502,-5.11249620358556,-0.654993869844246,-0.225857855134487,-3.4466173053069,-3.52260055668995,-3.46856142643257,-3.498897725255,-3.56688576716975,-4.25784602226054,-4.0692430862221,-4.00003886772774,-3.8596445666336,-2.35949447014538,-3.50062623458645,4.32444262330629,3.65849506069963,2.82473037989172,3.61372932272262,3.94979702511265,3.35778834234701,3.60349344506075,4.04278114352767,3.75082607541395,2.43487369067976,3.62646068512539,3.81775015272287,2.83657416934875,2.85248460618803,2.73063895572427,2.69110006063039,1.30804311397585,2.90526275080061,2.93487716368586,2.74057837649843
"OTU_124",1.66719182182439,1.64439285876984,1.95428193459784,1.33980538136044,2.06049035262024,1.61907754598966,1.13724375287454,0.965595648979579,1.64994931247456,1.51552633402346,1.40800445050672,-3.42315390604196,-3.39546750082478,-3.11532545459527,-3.14197574831067,-3.0372341878808,-3.46404069857191,-1.52893159541521,-3.47987018329292,-3.38679395428159,-3.23727531057926,-3.41791375085421,-3.48488268151464,-3.24535348093177,-3.24571049830379,-3.17132090182939,-3.23841142045204,-3.22381018937939,-3.31488044097106,-3.42550166035576,-2.01931684779223,-0.080444123552267,-0.160166771294517,-0.0400511664570935,-0.0278711505548319,-0.166805872126589,-1.18239590383565,0.273466120683159,-0.227944456363863,-0.422066986055396,-4.24819942420653,-4.14830317139193,-3.4466173053069,-3.52260055668995,-3.46856142643257,-3.498897725255,-3.56688576716975,-4.25784602226054,-4.0692430862221,-4.00003886772774,-3.8596445666336,-3.91583249092071,-3.50062623458645,-4.17744296438428,-3.92891645389576,-4.11995337119984,-3.54294585103537,-3.77594784632972,-3.93457153813728,-3.80784729101932,-4.54096125294132,-4.09245568383838,-4.00673584666827,-3.97649127912696,-3.8202598852156,-3.9855603046359,-3.9588326277724,-4.45041450885296,-4.78919325546734,-4.16417072028359,-3.7005062533619,-3.77877152031492,-3.60228093690946
"OTU_129",-2.09272988960716,-4.56258521339532,-3.05273005824419,-2.53702851802269,-2.86579677630238,-2.63580563385944,-2.94092894893255,-2.01252142967054,-3.07179182804145,-2.45351386474463,-1.72317117336878,0.641638872820979,0.810811958919999,-0.552453133375231,0.200631356694313,0.809371684176888,0.631420638168635,-0.60519771414196,0.311546279941075,0.149018426219477,1.0604408139681,0.596136457672241,-1.94490097003856,-3.24535348093177,-3.24571049830379,-1.26359238151602,-1.89827343661194,-2.09362275546952,-3.31488044097106,-1.21206652342778,-2.01931684779223,-2.09807390394126,-2.74218891554221,-2.42184878235921,-2.67659779293913,-2.42033664962662,-2.0650990972731,-1.6481977663539,-2.93599018193347,-2.29496974225751,-2.31787649405203,-4.14830317139193,-3.4466173053069,-2.10260348859455,-1.685492195225,-1.46687353434369,-3.56688576716975,-1.97608247863825,-2.45111087322163,-2.26083741535356,-1.48568944050425,-3.91583249092071,-3.50062623458645,1.36632821371629,-1.31574095906385,-1.11443689766189,-3.54294585103537,-0.140248565962883,-1.76353440742096,-0.789638171888923,0.294034366676464,0.557297170007041,-1.31431508284088,0.631947878324469,-1.26124796014915,-1.31248500554155,-3.9588326277724,-0.407061565040124,-0.647943681973699,-0.0511533185072945,0.325419645830243,-0.840564607669664,-0.0648756124907877
"OTU_130",3.03769338915606,2.78193650570613,2.59821989397001,3.76346185945486,2.64116385837238,3.19578457958023,2.75594977026125,3.16575327932459,2.25395456564221,3.56364443562949,3.16554444700492,6.03579926965669,6.53849360474245,6.48703408712425,5.90776753922739,6.14124523528905,6.45686103755872,5.53290421080617,6.16862315088967,6.22932012534869,6.74711814482721,6.12690927510242,3.62576826308966,3.17951554297362,3.40696869216421,4.14475864475778,4.25549942369208,3.74971833923339,3.58788360573271,3.82230098390241,3.54560631702152,3.43984284281165,3.44402963153259,2.98734428152855,3.59129114281447,3.42005314051977,2.9662339781891,3.51959895308291,3.11656468059763,3.40656608533745,2.994127212482,3.02394450959958,2.54710835043119,2.78158650407491,3.92406867338169,4.1112529351357,3.22212883263382,3.93670666227887,3.40840633107367,3.17077611992843,3.44113030275804,3.29325250673062,2.86461907760694,6.83469596972349,5.60121988910024,5.10775741289317,5.17731176163177,4.57238711776216,4.1794449435104,4.69974043273827,6.07634632338319,5.23544749616281,3.85769750975079,5.93600672091174,3.42110347713547,3.52917650492886,3.79627300764963,5.31420103153196,5.17395652732196,5.7131479090955,5.62806840564687,5.85149864374849,5.43382871905164
"OTU_132",2.42888234542228,2.72859746786028,2.77256308246869,2.82660477341107,1.84230942656944,2.80026235298672,2.55602466910148,2.71605985386299,1.78148762650759,2.55340672238176,2.32117437237179,4.82011603704446,4.96870760710372,4.57727332572534,4.10207720708924,4.21908013938231,5.11789223330305,3.32753329663632,4.9309308431162,4.85481534318965,4.81653730886132,4.71398708793248,4.98183013498373,4.96395493071517,4.57635165065283,4.54745549927179,4.20728606106457,4.5378433478322,5.0924043940712,4.20603293052353,4.40327643759366,1.49339380326322,1.89184193641969,1.42503682084912,1.63131398759608,1.85520602732792,1.44239493277806,1.63703555571945,1.75779644437941,1.3994371206174,4.61640230576491,4.33054150018763,3.4975843701371,3.79097828113559,3.98608993419331,4.36087454097214,3.90218057501196,4.57137417093126,3.89352061082864,3.97927224880875,4.36095447922961,4.76517966331953,4.02332461369225,2.28026913870001,2.91326556844232,2.09488021242807,2.40515987696335,2.13832151930325,0.430737665488634,1.76672763104879,2.18935829133131,2.94645991105283,1.63952807074233,2.09058820019383,2.2440589358735,2.67769728348837,1.87779609944446,2.18744138798523,2.14513345442007,2.48493080974733,2.23187984422984,1.41318254673442,2.17738229859132
"OTU_137",1.40606707878237,1.61812929083291,1.47032690182104,1.72286221173109,0.570632573978212,2.1415284516377,1.97481538714249,1.83381155119147,1.12622981757,1.62389869607455,1.33977481712027,-1.99267207260955,-0.258432404496174,-3.11532545459527,-1.65773851352702,-1.80984558360041,-0.553177010112357,-1.52893159541521,-1.00924984321109,-1.15348159420251,-0.431342510239757,-0.431190944052171,0.0409054637259594,-0.537303279829562,-0.563575776749257,-0.44056922311383,-1.89827343661194,-0.134479752727977,0.142076479280293,-0.0877075662700033,-0.662953116750213,-0.160031444335036,0.770378430400076,-0.0186714537354788,-0.375232651608153,0.457045991676787,0.428368106251884,-0.061371280160385,0.236488009068011,0.591195172012926,-0.0614414533787535,-1.43032450456011,-1.62310443883633,-1.53826443035777,-1.0801501709558,-0.841507428647816,-1.69098172670468,-0.669457047924119,-1.49426852739993,-1.28677647930559,-0.626886980799991,-0.934851887749216,-0.809323056061137,-4.17744296438428,-3.92891645389576,-4.11995337119984,-3.54294585103537,-3.77594784632972,-3.93457153813728,-3.80784729101932,-4.54096125294132,-4.09245568383838,-4.00673584666827,-3.97649127912696,-3.8202598852156,-3.9855603046359,-3.9588326277724,-4.45041450885296,-4.78919325546734,-4.16417072028359,-3.7005062533619,-3.77877152031492,-3.60228093690946
