"","OTU","diff.btw","diff.win","effect","wi.ep","wi.eBH","kingdom","phylum","class","order","family","genus","species"
"53","OTU_352",-1.8119208405795,3.28940870090098,-0.474929665430853,0.0154830138559698,0.04708065392871,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"54","OTU_361",-3.62603643962067,3.48429658868591,-0.940784072180852,8.79962028871769e-06,9.32178356445523e-05,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas oryzae"
"55","OTU_364",2.09020026343456,2.41210886803924,0.802792237009162,1.66372256548001e-05,0.00016758850445791,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","acetobacter","acetobacter spp."
"56","OTU_37",1.9518813472345,3.0939247152153,0.575947143786961,0.00103457890684704,0.00577192126797257,"bacteria","bacteroidetes","bacteroidia","bacteroidales","porphyromonadaceae","barnesiella","barnesiella viscericola"
"57","OTU_382",1.88321696431989,2.52415106668138,0.647827139388299,0.000111672973746502,0.000838827037384395,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas spp."
"58","OTU_39",1.30705415664414,1.87778412331911,0.620788278682166,0.000843375173162732,0.00445447661309354,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas sp."
"59","OTU_40",-1.6227447403494,1.71526918912089,-0.871483894786545,6.93132687532008e-05,0.000480393432146664,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus sp."
"60","OTU_409",-0.539338176051543,0.896602698512017,-0.537877736134866,0.0137759206345226,0.0470135875073292,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"61","OTU_41",-1.0571355020832,1.03119361852735,-0.924865105645463,3.83593895983052e-05,0.000344032946744196,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas oryzae"
"62","OTU_44",1.64884419854838,1.5025802224142,1.02454766123776,2.3117741966249e-06,3.01009216904499e-05,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodopseudomonas","rhodopseudomonas spp."
