,C0C,1C3A,1C3B,1C5A,1C5B,1C7A,1C7B,1C10A,1C10B,1C20B,1C20A,2C3A,2C3B,2C5A,2C5B,2C10A,2C10B,1M3A,1M3B,1M3C,1M5A,1M5B,1M5C,1M7A,1M7B,1M7C,1M10A,1M10B,1M10C,2M3A,2M3B,2M3C,2M5A,2M5B,2M7A,2M7B,2M7C,2M10A,2M10B,2M10C,3M3A,3M3B,3M3C,3M5B,3M5C,3M5A,3M7A,3M7B,3M7C,3M10A,3M10B,3M10C,1G3A,1G3B,1G3C,1G5A,1G5B,1G5C,1G7A,1G7B,1G7C,1G10A,1G10B,1G10C,2G3A,2G3B,2G3C,2G5A,2G5B,2G5C,2G7A,2G7B,2G7C,2G10A,2G10B,2G10C,3G3A,3G3B,3G3C,3G5A,3G5B,3G5C,3G7A,3G7B,3G7C,3G10A,3G10B
bradyrhizobium yuanmingense,3,3,7,2,8,0,1,0,0,1,1,0,2,0,1,6,29,0,0,0,0,1,0,0,0,0,1,0,1,2,16,7,8,8,8,6,1,67,1,10,2,2,1,0,1,5,1,4,0,3,1,0,15,1,4,7,0,2,1,1,1,1,2,7,10,6,5,3,0,2,7,2,2,4,3,4,2,0,1,1,5,2,10,4,3,7,1
bradyrhizobium spp.,3,7,6,2,11,6,3,6,5,3,8,2,1,0,2,2,3,2,1,1,0,2,1,0,1,0,4,5,2,7,4,1,2,4,5,2,0,11,0,4,0,1,0,4,0,2,4,4,0,2,1,2,2,2,3,2,1,1,3,5,2,2,0,3,5,5,9,2,10,0,5,3,3,3,5,2,0,2,0,1,3,3,3,2,5,9,1
rhodopseudomonas sp.,3,4,3,3,1,2,2,3,1,1,7,0,2,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,3,4,1,0,9,3,1,2,2,0,0,3,3,3,4,3,3,0,3,1,0,2,3,2,3,0,2,1,2,0,2,4,3,9,2,3,2,2,12,5,3,12,0,0,2,0,1,0,1,8,3,0,6,1
inquilinus spp.,3,1,0,0,0,1,0,1,2,4,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,17,1,0,0,0,0,1,0,0,4,2,6,8,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,2,5,2,4,0,0,0,2,5,6,9,5,6,6,10
dechloromonas agitata,2,2,3,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,1,2,1,0,0,1,0,21,0,9,0,0,1,3,0,0,0,3,1,10,7,9,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,6
acidovorax spp.,2,1,3,5,2,1,1,0,0,0,0,1,9,0,0,0,0,0,7,3,3,0,0,0,0,1,0,0,0,8,10,3,3,3,2,0,0,29,0,10,0,0,0,3,0,1,0,1,4,9,6,10,5,4,0,1,2,1,0,0,0,0,0,1,3,0,6,0,0,0,2,2,1,0,0,0,0,2,1,1,1,0,1,1,0,7,4
opitutus sp.,2,5,9,9,12,20,18,6,8,4,4,32,10,12,39,11,7,0,2,0,1,1,0,0,0,1,2,0,1,3,3,12,15,11,20,9,0,4,5,0,8,8,4,39,15,13,33,8,54,6,1,5,2,1,2,0,2,0,1,2,0,0,3,1,10,3,12,18,26,30,20,25,16,3,6,4,3,8,8,5,13,32,21,18,18,1,4
methylocella palustris,2,1,3,1,1,1,0,1,1,8,1,1,1,3,1,8,16,0,1,0,1,1,0,0,0,0,0,0,0,2,15,8,16,10,14,6,0,83,2,10,8,2,2,10,2,8,9,6,3,6,3,4,6,2,4,2,1,3,6,0,4,3,0,6,3,1,2,3,2,3,10,2,5,2,2,3,2,0,2,1,3,2,6,4,4,9,3
beijerinckia spp.,2,0,0,2,1,0,1,2,1,1,1,1,1,0,3,3,2,1,0,0,1,0,0,1,0,0,0,0,2,5,4,9,1,7,5,2,0,12,3,4,31,6,5,13,24,31,19,8,10,13,6,12,1,0,3,1,2,0,2,1,2,1,0,4,12,1,8,2,7,3,3,8,3,9,4,2,0,0,0,3,4,3,4,1,7,5,0
rhodocyclus spp.,2,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,4,0,0,0,0,0,1,0,0,1,1,5,5,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,1,3,1,1,3,1
bradyrhizobium elkanii,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clostridium spp.,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
