	Name	kingdom	taxonomy	phylum	class	order	family	genus	species
OTU_45	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;R091	Bacteria	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;R091;	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium	R091
OTU_46	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;rupense	Bacteria	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;rupense;	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium	rupense
OTU_47	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;species_NA	Bacteria	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;Unassigned;	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium	g_Cloacibacterium
OTU_48	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Elizabethkingia	Bacteria	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Elizabethkingia;	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	g_Elizabethkingia
OTU_49	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum	Bacteria	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Unassigned;	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	f_Flavobacteriaceae	f_Flavobacteriaceae
OTU_50	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;discolor	Bacteria	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Unassigned;discolor;	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	f_Flavobacteriaceae	discolor
OTU_51	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales	Bacteria	Root;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	o_Sphingobacteriales	o_Sphingobacteriales	o_Sphingobacteriales
OTU_52	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae	Bacteria	Root;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	f_Chitinophagaceae	f_Chitinophagaceae
OTU_53	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Filimonas	Bacteria	Root;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Unassigned;	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	f_Chitinophagaceae	f_Chitinophagaceae
OTU_54	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae	Bacteria	Root;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	f_Saprospiraceae	f_Saprospiraceae
