	taxonomy
OTU_156	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Haematobacter;
OTU_157	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudorhodobacter;
OTU_158	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudoruegeria;
OTU_159	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;
OTU_160	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;TCRI;
OTU_161	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;capsulatus;
OTU_162	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Unassigned;
OTU_163	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;
OTU_164	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;AK41;
OTU_165	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;marinum;
OTU_166	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;sulfidophilum;
OTU_167	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tabrizicola;
OTU_168	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;
OTU_169	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Unassigned;16-34;
OTU_170	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;
OTU_171	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;
OTU_172	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;amazonense;
OTU_173	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;cf03;
OTU_174	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;lipoferum;
OTU_175	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;
OTU_176	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Phaeospirillum;
OTU_177	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Phaeospirillum;AK32;
OTU_178	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Phaeospirillum;cystidoformans;
OTU_179	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;sulfurexigens;
OTU_180	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Roseospira;Unassigned;
OTU_181	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Skermanella;
OTU_182	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Skermanella;xinjiangensis;
OTU_183	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira;
OTU_184	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;
OTU_185	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Unassigned;Erythrobacteraceae;Altererythrobacter;
OTU_186	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Unassigned;Erythrobacteraceae;Porphyrobacter;
OTU_187	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Unassigned;Erythrobacteraceae;Porphyrobacter;Unassigned;
OTU_188	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Unassigned;Unassigned;Novosphingobium;
OTU_189	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Unassigned;Unassigned;Sandarakinorhabdus;
OTU_190	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Unassigned;Unassigned;Sphingobium;
OTU_191	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Unassigned;Unassigned;Sphingobium;Unassigned;
OTU_192	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Achromobacter;Unassigned;
OTU_193	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Castellaniella;
OTU_194	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;
OTU_195	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Acidovorax;
OTU_196	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Acidovorax;Unassigned;
OTU_197	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Albidiferax;
OTU_198	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Aquabacterium;
OTU_199	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Aquincola;
OTU_200	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Aquincola;tertiaricarbonis;
OTU_201	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Chlorochromatium;
OTU_202	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Unassigned;
OTU_203	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Unassigned;Unassigned;
OTU_204	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Curvibacter;
