	kingdom	phylum	class	order	family	genus	species
OTU_125	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	f_Beijerinckiaceae	f_Beijerinckiaceae
OTU_126	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	f_Bradyrhizobiaceae
OTU_127	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	g_Bradyrhizobium
OTU_128	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Nitrobacter	g_Nitrobacter
OTU_129	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodoblastus	g_Rhodoblastus
OTU_130	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodoblastus	acidophilus
OTU_131	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodoblastus	sphagnicola
OTU_132	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	f_Bradyrhizobiaceae
OTU_133	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	F-1
OTU_134	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	NTUIOB_TPP1
OTU_135	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	palustris
OTU_136	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	f_Bradyrhizobiaceae
OTU_137	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	rhenobacensis
OTU_138	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	f_Bradyrhizobiaceae
OTU_139	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Tardiphaga	g_Tardiphaga
OTU_140	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	f_Hyphomicrobiaceae	f_Hyphomicrobiaceae
OTU_141	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Ancalomicrobium	g_Ancalomicrobium
OTU_142	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodomicrobium	g_Rhodomicrobium
OTU_143	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	g_Rhodoplanes
OTU_144	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	FZ35
OTU_145	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	g_Methylobacterium
OTU_146	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	f_Methylocystaceae	f_Methylocystaceae
OTU_147	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	f_Methylocystaceae	koreensis
OTU_148	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	f_Methylocystaceae	oryzae
OTU_149	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Cohaesibacter	g_Cohaesibacter
OTU_150	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Cohaesibacter	SJH-001
OTU_151	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium	g_Phyllobacterium
OTU_152	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	g_Rhizobium
OTU_153	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	f_Xanthobacteraceae	f_Xanthobacteraceae
OTU_154	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	f_Rhodobacteraceae	f_Rhodobacteraceae
OTU_155	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter	g_Gemmobacter
OTU_156	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Haematobacter	g_Haematobacter
OTU_157	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	g_Pseudorhodobacter
OTU_158	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudoruegeria	g_Pseudoruegeria
OTU_159	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	g_Rhodobacter
OTU_160	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	TCRI
OTU_161	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	capsulatus
OTU_162	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	g_Rhodobacter
OTU_163	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	g_Rhodovulum
OTU_164	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	AK41
OTU_165	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	marinum
OTU_166	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	sulfidophilum
